arti_time,hour,minute,second,accX,accY,accX,gyroX,gyroY,gyroZ
1000,16,30,6,-6520,-6080,10752,516,1280,4224
1000,16,30,7,-6496,-5696,10752,514,1280,4224
1000,16,30,16,-6456,-6016,10752,518,1285,4224
1000,16,30,17,-6368,-5944,10768,512,1300,4224
1000,16,30,18,-6520,-6080,10512,518,1296,4224
1000,16,30,19,-6560,-6104,10772,514,1281,4224
1000,16,30,16,-6392,-6104,10756,516,1285,4224
1000,16,30,17,-6200,-6136,10512,514,1300,4224
1000,16,30,18,-6328,-5728,10500,518,1301,4224
1000,16,30,19,-6584,-6104,10776,514,1280,4224
1000,16,30,16,-6328,-6144,10504,516,1300,4224
1000,16,30,17,-6496,-6136,10752,512,1281,4224
1000,16,30,26,-6424,-6040,10528,518,1297,4224
1000,16,30,27,-6496,-6112,10784,518,1297,4224
1000,16,30,28,-6424,-6048,10752,512,1284,4224
1000,16,30,29,8,-5944,10500,512,1280,4224
1000,16,30,26,-6552,-6080,10528,518,1280,4224
1000,16,30,27,-6456,-5984,11008,516,1300,4224
1000,16,30,28,-6464,-6080,10752,514,1285,4224
1000,16,30,29,-6360,-5952,10752,518,1300,4224
1000,16,30,26,-6496,-6072,10528,518,1297,4224
1000,16,30,27,-6488,-6136,10800,516,1285,4224
1000,16,30,36,-6592,-5688,10784,516,1301,4224
1000,16,30,37,-6272,-5976,10752,512,1281,4224
1000,16,30,38,-6328,-6008,10544,516,1280,4224
1000,16,30,39,-6424,-6144,10756,512,1280,4224
1000,16,30,36,-6456,-6144,10532,512,1301,4224
1000,16,30,37,-6368,-6072,10768,512,1300,4224
1000,16,30,38,-6520,-5984,10752,516,1297,4224
1000,16,30,36,-6520,-6016,10760,512,1296,4224
1000,16,30,37,-6336,-6080,10496,512,1281,4224
1000,16,30,46,-6520,-6104,10752,516,1297,4224
1000,16,30,47,-6528,-6112,10752,516,1281,4224
1000,16,30,48,-6520,-6072,10752,514,1281,4224
1000,16,30,49,-6496,-5696,10816,514,1281,4224
1000,16,30,46,-6584,-6016,10500,518,1280,4224
1000,16,30,47,-6488,-6104,10756,518,1297,4224
1000,16,30,48,-6488,-6104,10816,514,1297,4224
1000,16,30,49,-6488,-6104,10752,514,1284,4224
1000,16,30,46,-6616,-5984,10816,514,1301,4224
1000,16,30,47,-6464,-6040,10752,516,1285,4224
1000,16,30,56,-6336,-5656,10512,512,1284,4224
1000,16,30,57,-6560,-5752,10576,512,1285,4224
1000,16,30,58,-6368,-6112,10832,512,1301,4224
1000,16,30,59,-6560,-5664,10756,512,1285,4224
1000,16,30,56,-6360,-6048,10820,516,1297,4224
1000,16,30,57,-6424,-6080,10772,514,1300,4224
1000,16,30,58,-6464,-6080,10772,514,1284,4224
1000,16,30,59,-6528,-5696,10520,518,1284,4224
1000,16,30,56,-6432,-6080,10496,518,1285,4224
1000,16,30,57,-6304,-6144,10752,516,1281,4224
1000,16,31,6,-6424,-5656,10752,518,1297,4224
