interval,hour,minute,second,acX,acY,acX,gyX,gyY,gyZ,denoisedAcX,denoisedAcY,denoisedAcZ
5,16,30,6,1824,-5824,10504,514,1281,4224,-60,-64,-116
5,16,30,6,1864,-5856,10760,516,1280,4224,-20,-96,140
5,16,30,6,1952,-5784,10496,514,1280,4224,68,-24,-124
5,16,30,6,1920,-5848,10752,512,1300,4224,36,-88,132
5,16,30,6,1856,-5856,10504,516,1284,4224,-28,-96,-116
5,16,30,6,1888,-5792,10504,516,1297,4224,4,-32,-116
5,16,30,6,1888,-5784,10504,512,1300,4224,4,-24,-116
5,16,30,6,1864,-5752,10496,516,1280,4224,-20,8,-124
5,16,30,6,1792,-5760,10752,512,1296,4224,-92,0,132
5,16,30,7,1864,-5696,10496,516,1300,4224,-20,64,-124
5,16,30,7,1888,-5792,10504,512,1284,4224,4,-32,-116
5,16,30,7,1760,-5824,10760,518,1280,4224,-124,-64,140
5,16,30,7,1920,-5688,10752,518,1285,4224,36,72,132
5,16,30,7,1800,-5688,10496,514,1296,4224,-84,72,-124
5,16,30,7,1920,-5664,10496,518,1280,4224,36,96,-124
5,16,30,7,1960,-5752,10752,512,1300,4224,76,8,132
5,16,30,7,1952,-5728,10504,518,1281,4224,68,32,-116
5,16,30,7,1960,-5792,10504,514,1280,4224,76,-32,-116
5,16,30,7,1864,-5728,10504,512,1284,4224,-20,32,-116
5,16,30,7,1928,-5784,10496,516,1300,4224,44,-24,-124
5,16,30,7,1832,-5792,10496,518,1284,4224,-52,-32,-124
5,16,30,7,1792,-5792,10496,518,1284,4224,-92,-32,-124
5,16,30,7,1928,-5824,10752,516,1284,4224,44,-64,132
5,16,30,7,1896,-5760,10760,514,1297,4224,12,0,140
5,16,30,7,1952,-5792,10504,512,1280,4224,68,-32,-116
5,16,30,7,1928,-5784,10496,514,1285,4224,44,-24,-124
5,16,30,7,1864,-5784,10760,518,1296,4224,-20,-24,140
5,16,30,7,1920,-5688,10504,516,1300,4224,36,72,-116
5,16,30,7,1896,-5792,10760,516,1297,4224,12,-32,140
5,16,30,7,1920,-5752,10496,512,1301,4224,36,8,-124
5,16,30,7,1768,-5856,10496,514,1301,4224,-116,-96,-124
5,16,30,7,1824,-5792,10496,514,1300,4224,-60,-32,-124
5,16,30,16,1992,-5696,10496,512,1296,4224,108,64,-124
5,16,30,16,1896,-6144,10512,518,1284,4224,12,-384,-108
5,16,30,16,1952,-5816,10752,514,1284,4224,68,-56,132
5,16,30,16,1920,-5752,10768,514,1296,4224,36,8,148
5,16,30,16,1704,-5728,10512,518,1296,4224,-180,32,-108
5,16,30,16,1832,-5752,10496,518,1296,4224,-52,8,-124
5,16,30,16,1928,-5856,10752,516,1296,4224,44,-96,132
5,16,30,16,1824,-5816,10752,516,1285,4224,-60,-56,132
5,16,30,16,1896,-5752,10752,512,1301,4224,12,8,132
5,16,30,16,1960,-5824,10496,516,1296,4224,76,-64,-124
5,16,30,16,1832,-5720,10496,514,1296,4224,-52,40,-124
5,16,30,16,1896,-5824,10768,514,1280,4224,12,-64,148
5,16,30,16,1896,-5664,10496,512,1281,4224,12,96,-124
5,16,30,16,1920,-5752,10752,516,1285,4224,36,8,132
5,16,30,16,1960,-5816,10512,516,1300,4224,76,-56,-108
5,16,30,16,1824,-5792,10512,516,1300,4224,-60,-32,-108
5,16,30,16,1864,-5760,10768,518,1284,4224,-20,0,148
5,16,30,16,1928,-5688,10496,514,1281,4224,44,72,-124
5,16,30,16,1928,-5720,10496,516,1280,4224,44,40,-124
5,16,30,16,1920,-5848,10752,518,1300,4224,36,-88,132
5,16,30,16,1952,-5880,10768,518,1281,4224,68,-120,148
5,16,30,16,1928,-5824,10768,516,1300,4224,44,-64,148
5,16,30,17,1992,-5760,10512,516,1285,4224,108,0,-108
5,16,30,17,1832,-5720,10512,516,1281,4224,-52,40,-108
5,16,30,17,1856,-5696,10512,516,1296,4224,-28,64,-108
5,16,30,17,1824,-5784,10512,518,1281,4224,-60,-24,-108
5,16,30,17,1824,-5696,10512,514,1301,4224,-60,64,-108
5,16,30,17,1888,-5696,10496,518,1301,4224,4,64,-124
5,16,30,17,1920,-5760,10752,516,1300,4224,36,0,132
5,16,30,17,1984,-5760,10512,514,1297,4224,100,0,-108
5,16,30,17,1768,-5728,10752,514,1301,4224,-116,32,132
5,16,30,17,1920,-5752,10768,512,1284,4224,36,8,148
5,16,30,17,1856,-5816,10496,514,1297,4224,-28,-56,-124
5,16,30,17,1952,-5728,10768,516,1281,4224,68,32,148
5,16,30,17,1824,-5664,10496,514,1300,4224,-60,96,-124
5,16,30,17,1864,-5848,10768,516,1297,4224,-20,-88,148
5,16,30,17,1832,-5784,10512,514,1300,4224,-52,-24,-108
5,16,30,17,1888,-5760,10752,514,1301,4224,4,0,132
5,16,30,17,2024,-5784,10752,516,1284,4224,140,-24,132
5,16,30,17,1896,-5760,10752,512,1280,4224,12,0,132
5,16,30,17,1896,-5752,10496,516,1285,4224,12,8,-124
5,16,30,17,1960,-5720,10496,512,1285,4224,76,40,-124
5,16,30,17,1928,-5752,10752,518,1297,4224,44,8,132
5,16,30,17,1896,-5784,10512,514,1296,4224,12,-24,-108
5,16,30,17,1856,-5856,10768,516,1296,4224,-28,-96,148
5,16,30,18,1888,-5696,10512,512,1297,4224,4,64,-108
